# Constructed from biom file
#OTU.ID	IA66.10.mos	IA66.1yr	IA66.20mo	IA66.d0	IA66.d125	IA66.d35	IA66.pre	KF35.10.mos	KF35.1yr	KF35.d0	KF35.d35	KF35.pre	KG04.10.mos	KG04.19mo	KG04.1yr	KG04.d0	KG04.d125	KG04.d35	KG04.pre	KG56.10.mos	KG56.1yr	KG56.d0	KG56.d125	KG56.d35	KG56.pre	KT85.10.mos	KT85.1yr	KT85.20mo	KT85.d0	KT85.d125	KT85.pre	KV82.10.mos	KV82.19mo	KV82.1yr	KV82.d0	KV82.d125	KV82.d35	KV82.pre	Consensus.Lineage
199	32	389	392	19	62	50	54	35	21	104	57	98	15	30	54	12	20	26	83	39	62	75	29	26	66	101	16	33	57	11	99	12	75	32	18	108	40	65	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__concisus
200	42	87	131	8	50	33	46	21	29	38	19	38	39	27	28	12	16	10	54	27	33	24	16	31	47	44	23	27	27	17	93	28	20	39	11	53	7	57	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__curvus
201	56	151	180	37	20	64	28	16	10	75	15	58	12	9	44	31	19	31	140	40	41	69	24	43	67	84	31	52	56	22	207	12	28	18	26	51	8	39	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__lari
206	23	138	107	17	27	63	29	11	22	74	14	35	19	14	18	42	24	18	83	44	25	84	26	34	56	23	33	86	49	33	75	8	40	28	27	35	5	63	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Campylobacteraceae; g__Campylobacter; s__sputorum
209	114	2124	3418	30	406	159	166	92	68	90	166	337	36	43	192	24	66	92	371	253	302	116	82	45	134	540	32	61	57	77	187	63	60	97	36	536	24	200	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__
210	62	1628	2275	35	289	144	72	50	46	75	104	257	59	54	130	25	52	89	291	204	197	122	42	64	125	393	34	80	62	75	197	59	67	79	66	323	24	156	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__pylori
212	4	108	132	2	10	11	5	3	4	5	5	14	4	10	4	1	4	1	17	4	3	5	8	3	3	7	6	3	6	3	7	2	3	6	4	12	8	8	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__acinonychis
213	130	3476	5420	45	657	239	204	158	85	120	321	546	29	59	204	31	83	155	617	324	737	176	133	72	150	854	37	95	83	117	264	98	89	175	64	988	33	348	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__cinaedi
214	7	74	106	4	41	22	13	34	14	13	4	35	3	3	10	1	6	8	25	17	19	5	10	5	10	20	6	5	11	2	18	5	6	3	3	16	1	15	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__felis
217	22	360	621	12	74	24	34	25	15	30	23	72	6	37	45	1	5	20	80	59	88	31	18	11	29	81	6	24	14	12	35	10	24	24	6	96	3	27	k__Bacteria; p__Proteobacteria; c__Epsilonproteobacteria; o__Campylobacterales; f__Helicobacteraceae; g__Helicobacter; s__mustelae
222	86	69	10	36	40	48	75	51	68	34	21	71	65	65	56	23	54	29	71	53	62	26	36	25	94	74	46	68	51	27	89	46	54	97	45	17	26	77	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Achromobacter; s__
226	21	67	5	11	4	15	44	36	36	16	8	17	40	19	27	12	13	20	25	22	59	10	14	10	21	28	28	27	21	10	29	32	39	14	5	14	16	20	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Alteromonadaceae; g__Alteromonas; s__
227	6	54	2	3	8	9	22	4	0	4	4	6	10	6	11	12	0	6	15	11	3	3	10	7	12	10	15	18	10	14	14	16	12	14	12	0	1	32	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__carrageenovora
228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Pseudoalteromonadaceae; g__Pseudoalteromonas; s__haloplanktis
234	69	38	6	15	18	25	39	21	35	7	12	51	29	25	58	26	26	9	41	35	26	20	21	28	59	48	23	38	29	25	33	35	20	32	22	9	12	55	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae; g__Brucella; s__
235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae; g__Brucella; s__abortus
236	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Brucellaceae; g__Brucella; s__ovis
